ID,Age,Gender,Job,Weight,Height,GamesExperience,UncorrectedVision,VisualAid,EnglishLevel,time stamp
1,gg,male,g,gg,gg,a few times per week ,no,none,5,64
1,hh,male,hh,hh,hh,a few times per week ,no,none,4,53
1,gg,male,gg,gg,gg,a few times per week ,no,Contact lenses,4,491
1,hh,male,hh,hh,hh,a few times per year ,no,none,5,947
1,hh,other,hh,hh,hh,a few times per week ,no,none,5,516
1,gg,male,gg,gg,gg,a few times per week ,no,Contact lenses,4,443
1,hh,male,hhhhh,hh,hh,a few times per week ,no,none,4,746
1,gg,male,gg,gg,gg,a few times per year ,no,none,4,435
1,hh,male,hh,hh,hh,a few times per week ,no,none,4,742
1,gg,other,gg,gg,gg,a few times per year ,no,none,3,190
1,gg,male,gg,gg,gg,a few times per week ,no,none,4,793
1,ww,male,ww,ww,ww,a few times per year ,no,none,4,14,2265
1,ff,male,ff,ff,ff,a few times per year ,no,none,7,18,70142
1,ff,other,ff,ff,ff,a few times per year ,no,none,5,17,44195
1,gg,other,gg,gg,gg,a few times per week ,no,none,4,14,08383
1,ff,male,ff,ff,ff,a few times per week ,no,none,4,9,930217
